id,title,abstract,authors,year,pdf_link
1,Attention Is All You Need,We propose a new simple network architecture called the Transformer based on an attention mechanism. The dominant sequence transduction models are based on complex recurrent or convolutional neural networks in an encoder-decoder configuration. The best performing models also connect the encoder and decoder through an attention mechanism. We propose a new simple network architecture based solely on attention mechanisms dispensing with recurrence and convolutions entirely.,Vaswani et al.,2017,https://arxiv.org/pdf/1706.03762.pdf
2,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,We introduce BERT a method of pre-training language representations. BERT is designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers. As a result the pre-trained BERT model can be fine-tuned with just one additional output layer to create state-of-the-art models for a wide range of tasks.,Devlin et al.,2018,https://arxiv.org/pdf/1810.04805.pdf
3,GPT-3: Language Models are Few-Shot Learners,Recent work has demonstrated substantial gains on many NLP tasks and benchmarks by pre-training on a diverse corpus of text followed by fine-tuning on a specific task. We demonstrate that scaling up language models greatly improves task-agnostic few-shot performance.,Brown et al.,2020,https://arxiv.org/pdf/2005.14165.pdf
4,A Survey on Deep Learning for Time Series Forecasting,Deep learning methods have proven to be highly effective for time series forecasting. We provide a comprehensive overview of deep learning techniques and their applications to forecasting various types of time series.,Zhang et al.,2020,https://arxiv.org/pdf/2004.13408.pdf
5,Transformers for Time Series: A Survey,This survey comprehensively reviews Transformer models applied to time series analysis tasks including forecasting classification and anomaly detection.,Wen et al.,2023,https://arxiv.org/pdf/2205.13504.pdf
6,ResNet: Deep Residual Learning for Image Recognition,Deep residual learning framework eases the training of very deep networks. We present residual networks that are substantially deeper than previously feasible and obtain remarkable accuracy on challenging image recognition tasks.,He et al.,2015,https://arxiv.org/pdf/1512.03385.pdf
7,Convolutional Neural Networks for Image Classification,We investigate the effect of the convolutional network depth on its accuracy in the large-scale image recognition setting using an architecture with small 3x3 convolution filters.,Simonyan et al.,2014,https://arxiv.org/pdf/1409.1556.pdf
8,YOLO: You Only Look Once - Real-time Object Detection,You Only Look Once provides a unified real-time framework for object detection. Prior detection systems repurpose classifiers to perform detection. Our system frames object detection as a regression problem to spatially separated bounding boxes.,Redmon et al.,2015,https://arxiv.org/pdf/1506.02640.pdf
9,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,We introduce Region Proposal Networks to enable end-to-end trainable region-based fully convolutional networks for object detection.,Ren et al.,2015,https://arxiv.org/pdf/1506.01497.pdf
10,Mask R-CNN,We present an instance segmentation framework that extends Faster R-CNN by adding a branch for predicting an object mask in parallel with the existing branch for bounding box recognition.,He et al.,2017,https://arxiv.org/pdf/1703.06870.pdf
11,Vision Transformers: An Image is Worth 16x16 Words,While the Transformer architecture has become the de-facto standard for natural language processing tasks the applications to computer vision remain limited. We show that a pure transformer applied directly to sequences of image patches can perform very well on image classification tasks.,Dosovitskiy et al.,2020,https://arxiv.org/pdf/2010.11929.pdf
12,CLIP: Learning Transferable Models For Zero-Shot Learning,We study how the ability to describe images using natural language enables zero-shot transfer. We present the CLIP model trained on image-text pairs from the internet.,Radford et al.,2021,https://arxiv.org/pdf/2103.14030.pdf
